key,junshu,tenban_junshu_p,chiban_junshu_p,chokufu,chokushi,kuubou,tenban_kan,tenban_gon,tenban_shin,tenban_son,tenban_ri,tenban_kun,tenban_da,tenban_ken,chiban_kan,chiban_gon,chiban_shin,chiban_son,chiban_ri,chiban_kun,chiban_da,chiban_ken,kyusei_kan,kyusei_gon,kyusei_shin,kyusei_son,kyusei_ri,kyusei_kun,kyusei_da,kyusei_ken,hasshin_kan,hasshin_gon,hasshin_shin,hasshin_son,hasshin_ri,hasshin_kun,hasshin_da,hasshin_ken,hachimon_kan,hachimon_gon,hachimon_shin,hachimon_son,hachimon_ri,hachimon_kun,hachimon_da,hachimon_ken
陰1局辛巳,己,兌,離,天英,景門,申酉,辛,壬,戊,庚,丙,丁,己,乙癸,戊,庚,丙,丁,己,乙癸,辛,壬,天柱,天心,天蓬,天任,天冲,天輔,天英,天芮,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,開門,休門,生門,傷門,杜門,景門,死門,驚門
陰1局壬午,己,壬,離,天英,景門,申酉,乙癸,辛,壬,戊,庚,丙,丁,己,戊,庚,丙,丁,己,乙癸,辛,壬,天芮,天柱,天心,天蓬,天任,天冲,天輔,天英,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,景門,死門,驚門,開門,休門,生門,傷門,杜門
陰1局癸未,己,坤,離,天英,景門,申酉,壬,戊,庚,丙,丁,己,乙癸,辛,戊,庚,丙,丁,己,乙癸,辛,壬,天心,天蓬,天任,天冲,天輔,天英,天芮,天柱,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,休門,生門,傷門,杜門,景門,死門,驚門,開門
陰1局甲申,庚,艮,艮,天任,生門,午未,戊,庚,丙,丁,己,乙癸,辛,壬,戊,庚,丙,丁,己,乙癸,辛,壬,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,螣蛇,直符,九天,九地,朱雀,勾陳,六合,太陰,休門,生門,傷門,杜門,景門,死門,驚門,開門
陰1局乙酉,庚,坤,艮,天任,生門,午未,己,乙癸,辛,壬,戊,庚,丙,丁,戊,庚,丙,丁,己,乙癸,辛,壬,天英,天芮,天柱,天心,天蓬,天任,天冲,天輔,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,杜門,景門,死門,驚門,開門,休門,生門,傷門
陰1局丙戌,庚,震,艮,天任,生門,午未,壬,戊,庚,丙,丁,己,乙癸,辛,戊,庚,丙,丁,己,乙癸,辛,壬,天心,天蓬,天任,天冲,天輔,天英,天芮,天柱,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,六合,傷門,杜門,景門,死門,驚門,開門,休門,生門
陰1局丁亥,庚,巽,艮,天任,生門,午未,辛,壬,戊,庚,丙,丁,己,乙癸,戊,庚,丙,丁,己,乙癸,辛,壬,天柱,天心,天蓬,天任,天冲,天輔,天英,天芮,六合,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,景門,死門,驚門,開門,休門,生門,傷門,杜門
陰1局戊子,庚,坎,艮,天任,生門,午未,庚,丙,丁,己,乙癸,辛,壬,戊,戊,庚,丙,丁,己,乙癸,辛,壬,天任,天冲,天輔,天英,天芮,天柱,天心,天蓬,直符,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,驚門,開門,休門,生門,傷門,杜門,景門,死門
陰1局己丑,庚,離,艮,天任,生門,午未,乙癸,辛,壬,戊,庚,丙,丁,己,戊,庚,丙,丁,己,乙癸,辛,壬,天芮,天柱,天心,天蓬,天任,天冲,天輔,天英,勾陳,六合,太陰,螣蛇,直符,九天,九地,朱雀,開門,休門,生門,傷門,杜門,景門,死門,驚門
陰1局庚寅,庚,艮,艮,天任,生門,午未,戊,庚,丙,丁,己,乙癸,辛,壬,戊,庚,丙,丁,己,乙癸,辛,壬,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,螣蛇,直符,九天,九地,朱雀,勾陳,六合,太陰,景門,死門,驚門,開門,休門,生門,傷門,杜門
