key,junshu,tenban_junshu_p,chiban_junshu_p,chokufu,chokushi,kuubou,tenban_kan,tenban_gon,tenban_shin,tenban_son,tenban_ri,tenban_kun,tenban_da,tenban_ken,chiban_kan,chiban_gon,chiban_shin,chiban_son,chiban_ri,chiban_kun,chiban_da,chiban_ken,kyusei_kan,kyusei_gon,kyusei_shin,kyusei_son,kyusei_ri,kyusei_kun,kyusei_da,kyusei_ken,hasshin_kan,hasshin_gon,hasshin_shin,hasshin_son,hasshin_ri,hasshin_kun,hasshin_da,hasshin_ken,hachimon_kan,hachimon_gon,hachimon_shin,hachimon_son,hachimon_ri,hachimon_kun,hachimon_da,hachimon_ken,jukkan_kokuou_kan,kakkyoku_kan,jukkan_kokuou_gon,kakkyoku_gon,jukkan_kokuou_shin,kakkyoku_shin,jukkan_kokuou_son,kakkyoku_son,jukkan_kokuou_ri,kakkyoku_ri,jukkan_kokuou_kun,kakkyoku_kun,jukkan_kokuou_da,kakkyoku_da,jukkan_kokuou_ken,kakkyoku_ken,ban_level
陰3局乙巳,壬,巽,艮,天任,生門,寅卯,癸,丁,庚,壬,戊,乙,辛,己丙,庚,壬,戊,乙,辛,己丙,癸,丁,天柱,天心,天蓬,天任,天冲,天輔,天英,天芮,六合,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,杜門,景門,死門,驚門,開門,休門,生門,傷門,×太白入網,,〇五神互合,◯丁奇得使;×丁奇入墓,×太白伏宮,,△格名小蛇,×地網;×六儀撃刑格,×青龍折足,,×日奇入霧;〇奇儀順遂,×乙奇入墓,×天牢華蓋,,△朱雀入墓;〇星奇朱雀,×丙奇入墓,門迫
陰3局丙午,壬,坤,艮,天任,生門,寅卯,辛,己丙,癸,丁,庚,壬,戊,乙,庚,壬,戊,乙,辛,己丙,癸,丁,天英,天芮,天柱,天心,天蓬,天任,天冲,天輔,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,傷門,杜門,景門,死門,驚門,開門,休門,生門,×白虎出力,,×地網高張;×火入天羅,,〇天乙会合,,〇人遁吉格,◯丁奇得使,×白虎干格,,×凶蛇入獄;×水蛇入火,×地網,△青龍華蓋,,〇奇儀相佐,◯乙奇得使,反吟;門迫
陰3局丁未,壬,壬,艮,天任,生門,寅卯,戊,乙,辛,己丙,癸,丁,庚,壬,庚,壬,戊,乙,辛,己丙,癸,丁,天冲,天輔,天英,天芮,天柱,天心,天蓬,天任,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,景門,死門,驚門,開門,休門,生門,傷門,杜門,×値符飛宮,,×日奇入地,,×囚獄被傷,,△地戸蓬星;〇日月併用,,×網蓋天牢,,×火入勾陳;△星髄月転,◯玉女守門,×反吟大格,,△干合蛇刑,×地網,反吟;門迫
陰3局戊申,壬,震,艮,天任,生門,寅卯,丁,庚,壬,戊,乙,辛,己丙,癸,庚,壬,戊,乙,辛,己丙,癸,丁,天心,天蓬,天任,天冲,天輔,天英,天芮,天柱,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,六合,驚門,開門,休門,生門,傷門,杜門,景門,死門,△朱雀入没,,×金華水流,×伏宮格;×六儀撃刑格,〇小蛇化龍,×地網,△青龍合霊,,×青龍逃走,◯乙奇得使;×青龍逃走,×入獄自刑;×干合孛師,,×地刑玄武;×華蓋孛師,,×螣蛇妖矯,×螣蛇妖矯,門迫
陰3局己酉,壬,坤,艮,天任,生門,寅卯,辛,己丙,癸,丁,庚,壬,戊,乙,庚,壬,戊,乙,辛,己丙,癸,丁,天英,天芮,天柱,天心,天蓬,天任,天冲,天輔,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,開門,休門,生門,傷門,杜門,景門,死門,驚門,×白虎出力,,×地網高張;×火入天羅,,〇天乙会合,,〇人遁吉格,◯丁奇得使,×白虎干格,,×凶蛇入獄;×水蛇入火,×地網,△青龍華蓋,,〇奇儀相佐,◯乙奇得使,反吟
陰3局庚戌,壬,坎,艮,天任,生門,寅卯,壬,戊,乙,辛,己丙,癸,丁,庚,庚,壬,戊,乙,辛,己丙,癸,丁,天任,天冲,天輔,天英,天芮,天柱,天心,天蓬,直符,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,景門,死門,驚門,開門,休門,生門,傷門,杜門,×太白擒蛇,×飛宮格;×地網,×龍入天牢,,×利陰害陽,◯乙奇昇殿,×白虎猖狂,×白虎猖狂,×遊魂入墓;△謀事成就,◯丙奇昇殿,×華蓋地戸;〇華蓋孛師,,×朱雀投江,◯丁奇昇殿;×朱雀投江,△丁丁之格,,反吟;門迫
陰3局辛亥,壬,離,艮,天任,生門,寅卯,己丙,癸,丁,庚,壬,戊,乙,辛,庚,壬,戊,乙,辛,己丙,癸,丁,天芮,天柱,天心,天蓬,天任,天冲,天輔,天英,勾陳,六合,太陰,螣蛇,直符,九天,九地,朱雀,生門,傷門,杜門,景門,死門,驚門,開門,休門,×刑格返名;×焚入太白,◯丙奇得使,×復見騰蛇,,〇青龍転光,,△太白蓬星,,×騰蛇相纏,×地網,×貴人入獄;〇青龍返首,,△華蓋蓬星,◯鬼遁,〇獄神得奇,,門迫
陰3局壬子,壬,艮,艮,天任,生門,寅卯,庚,壬,戊,乙,辛,己丙,癸,丁,庚,壬,戊,乙,辛,己丙,癸,丁,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,螣蛇,直符,九天,九地,朱雀,勾陳,六合,太陰,死門,驚門,開門,休門,生門,傷門,杜門,景門,×太白同宮,,×蛇入地羅,×地網,×伏吟,×六儀撃刑格,△日奇伏吟,◯風遁,×伏吟天庭,×六儀撃刑格,×地戸蓬鬼;×火孛地戸;△太孛入刑;×月奇孛師,◯丙奇得使;×六儀撃刑格,×天網四張,,〇奇入太陰,,伏吟;門迫
陰3局癸丑,壬,兌,艮,天任,生門,寅卯,乙,辛,己丙,癸,丁,庚,壬,戊,庚,壬,戊,乙,辛,己丙,癸,丁,天輔,天英,天芮,天柱,天心,天蓬,天任,天冲,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,休門,生門,傷門,杜門,景門,死門,驚門,開門,×日奇被刑,◯龍遁,×凶蛇入獄,,△犬遇青龍;〇飛鳥跌穴,,△華蓋蓬星,×六儀撃刑格,×朱雀入獄,,×官符刑格;×太白入熒,×刑格,×幼女奸淫,×地網,〇青龍耀明,,
陰3局甲寅,癸,兌,兌,天柱,驚門,子丑,庚,壬,戊,乙,辛,己丙,癸,丁,庚,壬,戊,乙,辛,己丙,癸,丁,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,休門,生門,傷門,杜門,景門,死門,驚門,開門,×太白同宮,,×蛇入地羅,,×伏吟,×六儀撃刑格,△日奇伏吟,,×伏吟天庭,×六儀撃刑格,×地戸蓬鬼;×火孛地戸;△太孛入刑;×月奇孛師,◯丙奇得使;×六儀撃刑格,×天網四張,,〇奇入太陰,,伏吟
陰3局乙卯,癸,巽,兌,天柱,驚門,子丑,乙,辛,己丙,癸,丁,庚,壬,戊,庚,壬,戊,乙,辛,己丙,癸,丁,天輔,天英,天芮,天柱,天心,天蓬,天任,天冲,六合,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,開門,休門,生門,傷門,杜門,景門,死門,驚門,×日奇被刑,,×凶蛇入獄,,△犬遇青龍;〇飛鳥跌穴,,△華蓋蓬星,×天羅;×六儀撃刑格,×朱雀入獄,,×官符刑格;×太白入熒,×刑格,×幼女奸淫,,〇青龍耀明,,
陰3局丙辰,癸,坤,兌,天柱,驚門,子丑,壬,戊,乙,辛,己丙,癸,丁,庚,庚,壬,戊,乙,辛,己丙,癸,丁,天任,天冲,天輔,天英,天芮,天柱,天心,天蓬,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,生門,傷門,杜門,景門,死門,驚門,開門,休門,×太白擒蛇,,×龍入天牢,,×利陰害陽,◯乙奇昇殿,×白虎猖狂,×白虎猖狂,×遊魂入墓;△謀事成就,◯丙奇昇殿,×華蓋地戸;〇華蓋孛師,×天羅,×朱雀投江,◯丁奇昇殿;×朱雀投江,△丁丁之格,,門迫
陰3局丁巳,癸,壬,兌,天柱,驚門,子丑,丁,庚,壬,戊,乙,辛,己丙,癸,庚,壬,戊,乙,辛,己丙,癸,丁,天心,天蓬,天任,天冲,天輔,天英,天芮,天柱,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,杜門,景門,死門,驚門,開門,休門,生門,傷門,△朱雀入没,,×金華水流,×六儀撃刑格,〇小蛇化龍,,△青龍合霊,,×青龍逃走,◯雲遁;◯乙奇得使;×青龍逃走,×入獄自刑;×干合孛師,,×地刑玄武;×華蓋孛師,,×螣蛇妖矯,×螣蛇妖矯;×天羅,門迫
陰3局戊午,癸,震,兌,天柱,驚門,子丑,辛,己丙,癸,丁,庚,壬,戊,乙,庚,壬,戊,乙,辛,己丙,癸,丁,天英,天芮,天柱,天心,天蓬,天任,天冲,天輔,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,六合,景門,死門,驚門,開門,休門,生門,傷門,杜門,×白虎出力,,×地網高張;×火入天羅,,〇天乙会合,×天羅,〇人遁吉格,◯丁奇得使,×白虎干格,,×凶蛇入獄;×水蛇入火,,△青龍華蓋,,〇奇儀相佐,◯乙奇得使,反吟;門迫
陰3局己未,癸,坤,兌,天柱,驚門,子丑,壬,戊,乙,辛,己丙,癸,丁,庚,庚,壬,戊,乙,辛,己丙,癸,丁,天任,天冲,天輔,天英,天芮,天柱,天心,天蓬,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,生門,傷門,杜門,景門,死門,驚門,開門,休門,×太白擒蛇,,×龍入天牢,,×利陰害陽,◯乙奇昇殿,×白虎猖狂,×白虎猖狂,×遊魂入墓;△謀事成就,◯丙奇昇殿,×華蓋地戸;〇華蓋孛師,×天羅,×朱雀投江,◯丁奇昇殿;×朱雀投江,△丁丁之格,,門迫
陰3局庚申,癸,坎,兌,天柱,驚門,子丑,癸,丁,庚,壬,戊,乙,辛,己丙,庚,壬,戊,乙,辛,己丙,癸,丁,天柱,天心,天蓬,天任,天冲,天輔,天英,天芮,直符,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,驚門,開門,休門,生門,傷門,杜門,景門,死門,×太白入網,×飛宮格;×天羅,〇五神互合,◯丁奇得使;×丁奇入墓,×太白伏宮,,△格名小蛇,×六儀撃刑格,×青龍折足,,×日奇入霧;〇奇儀順遂,×乙奇入墓,×天牢華蓋,,△朱雀入墓;〇星奇朱雀,×丙奇入墓,門迫
陰3局辛酉,癸,離,兌,天柱,驚門,子丑,戊,乙,辛,己丙,癸,丁,庚,壬,庚,壬,戊,乙,辛,己丙,癸,丁,天冲,天輔,天英,天芮,天柱,天心,天蓬,天任,勾陳,六合,太陰,螣蛇,直符,九天,九地,朱雀,傷門,杜門,景門,死門,驚門,開門,休門,生門,×値符飛宮,,×日奇入地,,×囚獄被傷,,△地戸蓬星;〇日月併用,,×網蓋天牢,×天羅,×火入勾陳;△星髄月転,,×反吟大格,×伏宮格,△干合蛇刑,,門迫
陰3局壬戌,癸,艮,兌,天柱,驚門,子丑,己丙,癸,丁,庚,壬,戊,乙,辛,庚,壬,戊,乙,辛,己丙,癸,丁,天芮,天柱,天心,天蓬,天任,天冲,天輔,天英,螣蛇,直符,九天,九地,朱雀,勾陳,六合,太陰,死門,驚門,開門,休門,生門,傷門,杜門,景門,×刑格返名;×焚入太白,◯丙奇得使,×復見騰蛇,×天羅,〇青龍転光,,△太白蓬星,,×騰蛇相纏,,×貴人入獄;〇青龍返首,,△華蓋蓬星,,〇獄神得奇,,門迫
陰3局癸亥,癸,兌,兌,天柱,驚門,子丑,庚,壬,戊,乙,辛,己丙,癸,丁,庚,壬,戊,乙,辛,己丙,癸,丁,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,休門,生門,傷門,杜門,景門,死門,驚門,開門,×太白同宮,,×蛇入地羅,,×伏吟,×六儀撃刑格,△日奇伏吟,,×伏吟天庭,×六儀撃刑格,×地戸蓬鬼;×火孛地戸;△太孛入刑;×月奇孛師,◯丙奇得使;×六儀撃刑格,×天網四張,×天羅,〇奇入太陰,,伏吟
陰4局甲子,戊,巽,巽,天輔,杜門,戌亥,辛,癸,己,戊,壬,庚乙,丁,丙,辛,癸,己,戊,壬,庚乙,丁,丙,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,六合,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,休門,生門,傷門,杜門,景門,死門,驚門,開門,×伏吟天庭,,×天網四張,,×地戸蓬鬼,,×伏吟,,×蛇入地羅,,×太白同宮;△太白蓬星;×日奇被刑;△日奇伏吟,×乙奇入墓,〇奇入太陰,◯丁奇昇殿,×月奇孛師,×丙奇入墓,伏吟
陰4局乙丑,戊,坤,巽,天輔,杜門,戌亥,丁,丙,辛,癸,己,戊,壬,庚乙,辛,癸,己,戊,壬,庚乙,丁,丙,天柱,天心,天蓬,天任,天冲,天輔,天英,天芮,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,生門,傷門,杜門,景門,死門,驚門,開門,休門,×朱雀入獄,,×華蓋孛師,,×入獄自刑,,〇天乙会合,×六儀撃刑格,×地網高張,,×値符飛宮;△青龍合霊,×飛宮格,△干合蛇刑,,×太白入熒;〇奇儀順遂,◯乙奇得使,門迫
陰4局丙寅,戊,壬,巽,天輔,杜門,戌亥,壬,庚乙,丁,丙,辛,癸,己,戊,辛,癸,己,戊,壬,庚乙,丁,丙,天英,天芮,天柱,天心,天蓬,天任,天冲,天輔,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,驚門,開門,休門,生門,傷門,杜門,景門,死門,×騰蛇相纏,,×反吟大格;△華蓋蓬星,◯鬼遁;×六儀撃刑格,×火入勾陳,,〇飛鳥跌穴,,×凶蛇入獄,×六儀撃刑格,×太白入網;△華蓋蓬星,,△朱雀入墓,,〇青龍返首,,反吟;門迫
陰4局丁卯,戊,兌,巽,天輔,杜門,戌亥,庚乙,丁,丙,辛,癸,己,戊,壬,辛,癸,己,戊,壬,庚乙,丁,丙,天芮,天柱,天心,天蓬,天任,天冲,天輔,天英,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,杜門,景門,死門,驚門,開門,休門,生門,傷門,×白虎干格;×青龍逃走,◯鬼遁;×青龍逃走,×朱雀投江,◯丁奇得使;×朱雀投江;×丁奇入墓,△太孛入刑,,×囚獄被傷,,×復見騰蛇,,×刑格返名;△地戸蓬星,×六儀撃刑格,〇青龍耀明,,×水蛇入火,,門迫
陰4局戊辰,戊,巽,巽,天輔,杜門,戌亥,辛,癸,己,戊,壬,庚乙,丁,丙,辛,癸,己,戊,壬,庚乙,丁,丙,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,六合,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,開門,休門,生門,傷門,杜門,景門,死門,驚門,×伏吟天庭,,×天網四張,,×地戸蓬鬼,,×伏吟,,×蛇入地羅,,×太白同宮;△太白蓬星;×日奇被刑;△日奇伏吟,×乙奇入墓,〇奇入太陰,◯丁奇昇殿,×月奇孛師,×丙奇入墓,伏吟
陰4局己巳,戊,震,巽,天輔,杜門,戌亥,癸,己,戊,壬,庚乙,丁,丙,辛,辛,癸,己,戊,壬,庚乙,丁,丙,天任,天冲,天輔,天英,天芮,天柱,天心,天蓬,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,六合,傷門,杜門,景門,死門,驚門,開門,休門,生門,×網蓋天牢,,×地刑玄武,,×貴人入獄,×六儀撃刑格,〇小蛇化龍,×六儀撃刑格,×金華水流;×日奇入地,◯乙奇得使,△朱雀入没;〇人遁吉格,,〇星奇朱雀,,×干合孛師,,門迫
陰4局庚午,戊,坤,巽,天輔,杜門,戌亥,丁,丙,辛,癸,己,戊,壬,庚乙,辛,癸,己,戊,壬,庚乙,丁,丙,天柱,天心,天蓬,天任,天冲,天輔,天英,天芮,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,死門,驚門,開門,休門,生門,傷門,杜門,景門,×朱雀入獄,,×華蓋孛師,,×入獄自刑,,〇天乙会合,×六儀撃刑格,×地網高張,,×値符飛宮;△青龍合霊,×飛宮格,△干合蛇刑,,×太白入熒;〇奇儀順遂,◯乙奇得使,門迫
陰4局辛未,戊,坎,巽,天輔,杜門,戌亥,戊,壬,庚乙,丁,丙,辛,癸,己,辛,癸,己,戊,壬,庚乙,丁,丙,天輔,天英,天芮,天柱,天心,天蓬,天任,天冲,直符,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,景門,死門,驚門,開門,休門,生門,傷門,杜門,×青龍折足,,×幼女奸淫,,×官符刑格;×日奇入霧,◯乙奇昇殿;×刑格,〇青龍転光,◯丁奇得使,×火入天羅,◯丙奇昇殿,×白虎出力;×白虎猖狂,×白虎猖狂,×螣蛇妖矯,×螣蛇妖矯,×火孛地戸,,反吟;門迫
陰4局壬申,戊,離,巽,天輔,杜門,戌亥,丙,辛,癸,己,戊,壬,庚乙,丁,辛,癸,己,戊,壬,庚乙,丁,丙,天心,天蓬,天任,天冲,天輔,天英,天芮,天柱,勾陳,六合,太陰,螣蛇,直符,九天,九地,朱雀,驚門,開門,休門,生門,傷門,杜門,景門,死門,△謀事成就,◯丙奇得使,×天牢華蓋,,×華蓋地戸,,△犬遇青龍,,×龍入天牢,,×太白擒蛇;△格名小蛇,,△丁丁之格;〇奇儀相佐,,△星髄月転,,門迫
陰4局癸酉,戊,艮,巽,天輔,杜門,戌亥,己,戊,壬,庚乙,丁,丙,辛,癸,辛,癸,己,戊,壬,庚乙,丁,丙,天冲,天輔,天英,天芮,天柱,天心,天蓬,天任,螣蛇,直符,九天,九地,朱雀,勾陳,六合,太陰,休門,生門,傷門,杜門,景門,死門,驚門,開門,×遊魂入墓,,△青龍華蓋,,×凶蛇入獄,,×太白伏宮;×利陰害陽,◯鬼遁;×伏宮格,〇五神互合,,×焚入太白;〇日月併用,◯丙奇得使,〇獄神得奇,,〇華蓋孛師,,
陰4局甲戌,己,震,震,天冲,傷門,申酉,辛,癸,己,戊,壬,庚乙,丁,丙,辛,癸,己,戊,壬,庚乙,丁,丙,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,六合,休門,生門,傷門,杜門,景門,死門,驚門,開門,×伏吟天庭,,×天網四張,,×地戸蓬鬼,,×伏吟,,×蛇入地羅,,×太白同宮;△太白蓬星;×日奇被刑;△日奇伏吟,×乙奇入墓,〇奇入太陰,◯丁奇昇殿,×月奇孛師,×丙奇入墓,伏吟
陰4局乙亥,己,坤,震,天冲,傷門,申酉,庚乙,丁,丙,辛,癸,己,戊,壬,辛,癸,己,戊,壬,庚乙,丁,丙,天芮,天柱,天心,天蓬,天任,天冲,天輔,天英,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,死門,驚門,開門,休門,生門,傷門,杜門,景門,×白虎干格;×青龍逃走,×青龍逃走,×朱雀投江,◯丁奇得使;×朱雀投江;×丁奇入墓,△太孛入刑,,×囚獄被傷,,×復見騰蛇,,×刑格返名;△地戸蓬星,×飛宮格;×六儀撃刑格,〇青龍耀明,,×水蛇入火,,門迫
陰4局丙子,己,壬,震,天冲,傷門,申酉,戊,壬,庚乙,丁,丙,辛,癸,己,辛,癸,己,戊,壬,庚乙,丁,丙,天輔,天英,天芮,天柱,天心,天蓬,天任,天冲,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,傷門,杜門,景門,死門,驚門,開門,休門,生門,×青龍折足,,×幼女奸淫,,×官符刑格;×日奇入霧,◯乙奇昇殿;×伏宮格;×刑格,〇青龍転光,◯丁奇得使,×火入天羅,◯丙奇昇殿,×白虎出力;×白虎猖狂,×白虎猖狂,×螣蛇妖矯,×螣蛇妖矯,×火孛地戸,,門迫
陰4局丁丑,己,兌,震,天冲,傷門,申酉,壬,庚乙,丁,丙,辛,癸,己,戊,辛,癸,己,戊,壬,庚乙,丁,丙,天英,天芮,天柱,天心,天蓬,天任,天冲,天輔,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,驚門,開門,休門,生門,傷門,杜門,景門,死門,×騰蛇相纏,,×反吟大格;△華蓋蓬星,×六儀撃刑格,×火入勾陳,,〇飛鳥跌穴,,×凶蛇入獄,×六儀撃刑格,×太白入網;△華蓋蓬星,,△朱雀入墓,,〇青龍返首,,反吟;門迫
陰4局戊寅,己,巽,震,天冲,傷門,申酉,丙,辛,癸,己,戊,壬,庚乙,丁,辛,癸,己,戊,壬,庚乙,丁,丙,天心,天蓬,天任,天冲,天輔,天英,天芮,天柱,六合,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,生門,傷門,杜門,景門,死門,驚門,開門,休門,△謀事成就,◯丙奇得使,×天牢華蓋,,×華蓋地戸,,△犬遇青龍,,×龍入天牢,,×太白擒蛇;△格名小蛇,,△丁丁之格;〇奇儀相佐,,△星髄月転,,門迫
陰4局己卯,己,震,震,天冲,傷門,申酉,辛,癸,己,戊,壬,庚乙,丁,丙,辛,癸,己,戊,壬,庚乙,丁,丙,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,六合,景門,死門,驚門,開門,休門,生門,傷門,杜門,×伏吟天庭,,×天網四張,,×地戸蓬鬼,,×伏吟,,×蛇入地羅,,×太白同宮;△太白蓬星;×日奇被刑;△日奇伏吟,×乙奇入墓,〇奇入太陰,◯丁奇昇殿;◯玉女守門,×月奇孛師,×丙奇入墓,伏吟;反吟;門迫
陰4局庚辰,己,坤,震,天冲,傷門,申酉,庚乙,丁,丙,辛,癸,己,戊,壬,辛,癸,己,戊,壬,庚乙,丁,丙,天芮,天柱,天心,天蓬,天任,天冲,天輔,天英,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,杜門,景門,死門,驚門,開門,休門,生門,傷門,×白虎干格;×青龍逃走,×青龍逃走,×朱雀投江,◯丁奇得使;×朱雀投江;×丁奇入墓,△太孛入刑,,×囚獄被傷,,×復見騰蛇,,×刑格返名;△地戸蓬星,×飛宮格;×六儀撃刑格,〇青龍耀明,,×水蛇入火,,門迫
陰4局辛巳,己,坎,震,天冲,傷門,申酉,己,戊,壬,庚乙,丁,丙,辛,癸,辛,癸,己,戊,壬,庚乙,丁,丙,天冲,天輔,天英,天芮,天柱,天心,天蓬,天任,直符,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,死門,驚門,開門,休門,生門,傷門,杜門,景門,×遊魂入墓,,△青龍華蓋,,×凶蛇入獄,,×太白伏宮;×利陰害陽,◯風遁,〇五神互合,,×焚入太白;〇日月併用,◯丙奇得使,〇獄神得奇,,〇華蓋孛師,,門迫
陰4局壬午,己,離,震,天冲,傷門,申酉,丁,丙,辛,癸,己,戊,壬,庚乙,辛,癸,己,戊,壬,庚乙,丁,丙,天柱,天心,天蓬,天任,天冲,天輔,天英,天芮,勾陳,六合,太陰,螣蛇,直符,九天,九地,朱雀,開門,休門,生門,傷門,杜門,景門,死門,驚門,×朱雀入獄,,×華蓋孛師,,×入獄自刑,,〇天乙会合,×六儀撃刑格,×地網高張,,×値符飛宮;△青龍合霊,,△干合蛇刑,,×太白入熒;〇奇儀順遂,◯乙奇得使,
陰4局癸未,己,艮,震,天冲,傷門,申酉,癸,己,戊,壬,庚乙,丁,丙,辛,辛,癸,己,戊,壬,庚乙,丁,丙,天任,天冲,天輔,天英,天芮,天柱,天心,天蓬,螣蛇,直符,九天,九地,朱雀,勾陳,六合,太陰,休門,生門,傷門,杜門,景門,死門,驚門,開門,×網蓋天牢,,×地刑玄武,,×貴人入獄,×六儀撃刑格,〇小蛇化龍,×六儀撃刑格,×金華水流;×日奇入地,◯乙奇得使,△朱雀入没;〇人遁吉格,,〇星奇朱雀,,×干合孛師,,
陰4局甲申,庚,坤,坤,天芮,死門,午未,辛,癸,己,戊,壬,庚乙,丁,丙,辛,癸,己,戊,壬,庚乙,丁,丙,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,休門,生門,傷門,杜門,景門,死門,驚門,開門,×伏吟天庭,,×天網四張,,×地戸蓬鬼,,×伏吟,,×蛇入地羅,,×太白同宮;△太白蓬星;×日奇被刑;△日奇伏吟,×伏宮格;×飛宮格;×乙奇入墓,〇奇入太陰,◯丁奇昇殿,×月奇孛師,×丙奇入墓,伏吟
陰4局乙酉,庚,坤,坤,天芮,死門,午未,辛,癸,己,戊,壬,庚乙,丁,丙,辛,癸,己,戊,壬,庚乙,丁,丙,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,死門,驚門,開門,休門,生門,傷門,杜門,景門,×伏吟天庭,,×天網四張,,×地戸蓬鬼,,×伏吟,,×蛇入地羅,,×太白同宮;△太白蓬星;×日奇被刑;△日奇伏吟,×伏宮格;×飛宮格;×時格;×乙奇入墓,〇奇入太陰,◯丁奇昇殿,×月奇孛師,×丙奇入墓,伏吟;門迫
陰4局丙戌,庚,壬,坤,天芮,死門,午未,丁,丙,辛,癸,己,戊,壬,庚乙,辛,癸,己,戊,壬,庚乙,丁,丙,天柱,天心,天蓬,天任,天冲,天輔,天英,天芮,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,生門,傷門,杜門,景門,死門,驚門,開門,休門,×朱雀入獄,,×華蓋孛師,,×入獄自刑,,〇天乙会合,×六儀撃刑格,×地網高張,,×値符飛宮;△青龍合霊,,△干合蛇刑,,×太白入熒;〇奇儀順遂,◯乙奇得使;×時格,門迫
陰4局丁亥,庚,兌,坤,天芮,死門,午未,丙,辛,癸,己,戊,壬,庚乙,丁,辛,癸,己,戊,壬,庚乙,丁,丙,天心,天蓬,天任,天冲,天輔,天英,天芮,天柱,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,景門,死門,驚門,開門,休門,生門,傷門,杜門,△謀事成就,◯丙奇得使,×天牢華蓋,,×華蓋地戸,,△犬遇青龍,,×龍入天牢,,×太白擒蛇;△格名小蛇,,△丁丁之格;〇奇儀相佐,×時格,△星髄月転,,反吟;門迫
陰4局戊子,庚,巽,坤,天芮,死門,午未,己,戊,壬,庚乙,丁,丙,辛,癸,辛,癸,己,戊,壬,庚乙,丁,丙,天冲,天輔,天英,天芮,天柱,天心,天蓬,天任,六合,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,開門,休門,生門,傷門,杜門,景門,死門,驚門,×遊魂入墓,,△青龍華蓋,,×凶蛇入獄,,×太白伏宮;×利陰害陽,×時格,〇五神互合,,×焚入太白;〇日月併用,◯丙奇得使,〇獄神得奇,,〇華蓋孛師,,
陰4局己丑,庚,震,坤,天芮,死門,午未,戊,壬,庚乙,丁,丙,辛,癸,己,辛,癸,己,戊,壬,庚乙,丁,丙,天輔,天英,天芮,天柱,天心,天蓬,天任,天冲,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,六合,驚門,開門,休門,生門,傷門,杜門,景門,死門,×青龍折足,,×幼女奸淫,,×官符刑格;×日奇入霧,◯乙奇昇殿;×刑格;×時格,〇青龍転光,◯丁奇得使,×火入天羅,◯丙奇昇殿,×白虎出力;×白虎猖狂,×白虎猖狂,×螣蛇妖矯,×螣蛇妖矯,×火孛地戸,,門迫
